rows 100 benchmark complete after 2.503952021s
Step,Records Sent,Indexed PRSS,Sequential PRSS
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem14,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem15,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem16,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem17,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem18,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem19,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem2,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem20,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem21,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem22,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem23,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem24,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem25,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem26,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem27,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem28,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem29,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem3,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem30,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem31,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem32,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem33,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem34,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem35,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem36,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem37,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem38,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem39,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem4,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem5,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem6,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem7,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem8,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/match_key_shares/elem9,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle2/trigger_value,200,300,0
protocol/run-0/apply_sort_permutation/shuffle_inputs/shuffle3/breakdown_key/elem0,200,300,0
